match_id,date,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_goals_ht,away_goals_ht,result
435943,2023-08-11 19:00:00+00:00,1,328,Burnley,65,Man City,0,3,0,2,AWAY_TEAM
435944,2023-08-12 12:00:00+00:00,1,57,Arsenal,351,Nottingham,2,1,2,0,HOME_TEAM
435945,2023-08-12 14:00:00+00:00,1,1044,Bournemouth,563,West Ham,1,1,0,0,DRAW
435946,2023-08-12 14:00:00+00:00,1,397,Brighton Hove,389,Luton Town,4,1,1,0,HOME_TEAM
435947,2023-08-12 14:00:00+00:00,1,62,Everton,63,Fulham,0,1,0,0,AWAY_TEAM
435948,2023-08-12 14:00:00+00:00,1,356,Sheffield Utd,354,Crystal Palace,0,1,0,0,AWAY_TEAM
435949,2023-08-12 16:30:00+00:00,1,67,Newcastle,58,Aston Villa,5,1,2,1,HOME_TEAM
435950,2023-08-13 13:00:00+00:00,1,402,Brentford,73,Tottenham,2,2,2,2,DRAW
435951,2023-08-13 15:30:00+00:00,1,61,Chelsea,64,Liverpool,1,1,1,1,DRAW
435952,2023-08-14 19:00:00+00:00,1,66,Man United,76,Wolverhampton,1,0,0,0,HOME_TEAM
435959,2023-08-18 18:45:00+00:00,2,351,Nottingham,356,Sheffield Utd,2,1,1,0,HOME_TEAM
435955,2023-08-19 14:00:00+00:00,2,63,Fulham,402,Brentford,0,3,0,1,AWAY_TEAM
435956,2023-08-19 14:00:00+00:00,2,64,Liverpool,1044,Bournemouth,3,1,2,1,HOME_TEAM
435962,2023-08-19 14:00:00+00:00,2,76,Wolverhampton,397,Brighton Hove,1,4,0,1,AWAY_TEAM
435960,2023-08-19 16:30:00+00:00,2,73,Tottenham,66,Man United,2,0,0,0,HOME_TEAM
435958,2023-08-19 19:00:00+00:00,2,65,Man City,67,Newcastle,1,0,1,0,HOME_TEAM
435953,2023-08-20 13:00:00+00:00,2,58,Aston Villa,62,Everton,4,0,2,0,HOME_TEAM
435961,2023-08-20 15:30:00+00:00,2,563,West Ham,61,Chelsea,3,1,1,1,HOME_TEAM
435954,2023-08-21 19:00:00+00:00,2,354,Crystal Palace,57,Arsenal,0,1,0,0,AWAY_TEAM
435968,2023-08-25 19:00:00+00:00,3,61,Chelsea,389,Luton Town,3,0,1,0,HOME_TEAM
435963,2023-08-26 11:30:00+00:00,3,1044,Bournemouth,73,Tottenham,0,2,0,1,AWAY_TEAM
435965,2023-08-26 14:00:00+00:00,3,402,Brentford,354,Crystal Palace,1,1,1,0,DRAW
